"","w_geocode","CE01"
"290","530019505001031",2
"291","530019505001033",0
"292","530019505001041",2
"293","530019505001059",2
"294","530019505001063",0
"295","530019505001072",0
"296","530019505001073",1
"297","530019505001083",0
"298","530019505001087",0
"299","530019505001093",5
"300","530019505001098",4
"301","530019505001100",9
"302","530019505001102",4
"303","530019505001109",0
"304","530019505002000",90
"305","530019505002003",2
"306","530019505002008",2
"307","530019505002011",14
"308","530019505002017",2
"309","530019505002018",7
"310","530019505002022",0
"311","530019505002023",7
"312","530019505002027",1
"313","530019505002029",1
"314","530019505002031",1
"315","530019505002034",0
"316","530019505002036",0
"317","530019505002040",6
"318","530019505002041",1
"319","530019505002045",0
"320","530019505002047",0
"321","530019505002053",99
"322","530019505002056",1
"323","530019505002057",2
"324","530019505002058",4
"325","530019505002059",6
"326","530019505002062",1
"327","530019505002063",34
"328","530019505002064",2
"329","530019505002066",0
"330","530019505002067",8
"331","530019505002068",4
"332","530019505002071",0
"333","530039601001003",29
"334","530039601001007",0
"335","530039601001015",9
"336","530039601001021",2
"337","530039601001037",2
"338","530039601001048",4
"339","530039601001061",2
"340","530039601001063",2
"341","530039601001067",0
"342","530039601001073",0
"343","530039601001084",0
"344","530039601001085",0
"345","530039601001101",9
"346","530039601002001",1
"347","530039601002005",38
"348","530039601002006",8
"349","530039601002010",0
"350","530039601002014",0
"351","530039601002017",0
"352","530039601002021",0
"353","530039601002027",2
"354","530039601002042",0
"355","530039601002048",0
"356","530039601002051",0
"357","530039601002058",3
"358","530039601002065",2
"359","530039601002088",0
"360","530039601002089",1
"361","530039601002106",0
"362","530039601002139",0
"363","530039601003002",0
"364","530039601003005",0
"365","530039601003006",0
"366","530039601003014",0
"367","530039601003018",4
"368","530039601003024",1
"369","530039601003028",0
"370","530039601003030",1
"371","530039601003032",0
"372","530039601003034",2
"373","530039601003038",2
"374","530039601003051",1
"375","530039602001006",10
"376","530039602001009",2
"377","530039602001013",0
"378","530039602001023",5
"379","530039602002001",0
"380","530039602002002",1
"381","530039602002004",16
"382","530039602002005",2
"383","530039602002009",0
"384","530039602002016",1
"385","530039602002017",0
"386","530039602003000",0
"387","530039602003001",5
"388","530039602003002",1
"389","530039602003003",0
"390","530039602003006",1
"391","530039602003008",13
"392","530039602004002",5
"393","530039602004004",10
"394","530039602004014",5
"395","530039602004027",2
"396","530039602004028",1
"397","530039602004030",60
"398","530039602004031",1
"399","530039602004039",1
"400","530039602004058",3
"401","530039602004070",5
"402","530039603001001",16
"403","530039603001003",26
"404","530039603001004",2
"405","530039603001005",4
"406","530039603001006",1
"407","530039603001007",1
"408","530039603001008",6
"409","530039603001009",0
"410","530039603001011",3
"411","530039603001013",0
"412","530039603001014",3
"413","530039603001015",20
"414","530039603001017",4
"415","530039603001018",0
"416","530039603001020",21
"417","530039603001023",7
"418","530039603001024",10
"419","530039603001025",18
"420","530039603001026",2
"421","530039603001027",2
"422","530039603001028",0
"423","530039603001029",1
"424","530039603001031",4
"425","530039603001032",10
"426","530039603001033",2
"427","530039603001034",29
"428","530039603001035",2
"429","530039603001037",11
"430","530039603001039",3
"431","530039603001044",71
"432","530039603001046",59
"433","530039603002001",0
"434","530039603002004",2
"435","530039603002005",0
"436","530039603002007",0
"437","530039603002010",2
"438","530039603002011",11
"439","530039603003002",25
"440","530039603003003",69
"441","530039603003004",1
"442","530039603003005",1
"443","530039603003006",2
"444","530039603003007",0
"445","530039603003008",12
"446","530039603003009",8
"447","530039603003010",0
"448","530039603003012",6
"449","530039603003013",3
"450","530039603003014",4
"451","530039603003015",30
"452","530039603003016",7
"453","530039603003017",0
"454","530039603003018",13
"455","530039603003020",0
"456","530039603003021",1
"457","530039603003024",1
"458","530039603003026",6
"459","530039603003027",9
"460","530039603003028",0
"461","530039603003030",5
"462","530039603004006",1
"463","530039603004009",8
"464","530039603004010",0
"465","530039603004011",1
"466","530039603004012",2
"467","530039603004013",3
"468","530039603004014",10
"469","530039603004015",2
"470","530039603004016",0
"471","530039603004017",2
"472","530039603004020",0
"473","530039603004023",0
"474","530039603004024",0
"475","530039603004025",19
"476","530039603004026",10
"477","530039603004027",127
"478","530039603004031",0
"479","530039603004038",0
"480","530039603004040",2
"481","530039604001001",0
"482","530039604001002",21
"483","530039604001006",5
"484","530039604001008",1
"485","530039604001012",2
"486","530039604001015",0
"487","530039604002003",6
"488","530039604002004",1
"489","530039604002008",0
"490","530039604002009",0
"491","530039604002010",0
"492","530039604002011",3
"493","530039604002015",1
"494","530039605001004",16
"495","530039605001006",1
"496","530039605001007",0
"497","530039605001010",3
"498","530039605001011",1
"499","530039605001012",0
"500","530039605002000",0
"501","530039605002001",1
"502","530039605002003",15
"503","530039605002004",11
"504","530039605002005",17
"505","530039605002006",6
"506","530039605002009",10
"507","530039605002014",2
"508","530039605003002",1
"509","530039605003003",1
"510","530039605003005",2
"511","530039605003008",11
"512","530039605003009",0
"513","530039605003011",3
"514","530039605003012",3
"515","530039605003015",2
"516","530039605003016",2
"517","530039605003017",0
"518","530039605004004",0
"519","530039605004007",2
"520","530039605004008",38
"521","530039605004010",12
"522","530039605004011",24
"523","530039605004012",2
"524","530039605004017",1
"525","530039605004025",5
"526","530039606001000",0
"527","530039606001007",0
"528","530039606001009",0
"529","530039606001010",17
"530","530039606001011",1
"531","530039606001013",10
"532","530039606002000",2
"533","530039606002003",3
"534","530039606002005",2
"535","530039606002006",1
"536","530039606002009",2
"537","530039606002010",11
"538","530039606002011",2
"539","530039606002014",1
"540","530039606002017",1
"541","530039606002030",0
"542","530039606002033",0
"543","530039606002034",1
"544","530039606003000",9
"545","530039606003002",0
"546","530039606003012",1
"547","530039606003015",0
"548","530039606004000",3
"549","530039606004011",9
"550","530039606004019",0
"551","530050101001002",0
"552","530050101001003",1
"553","530050101001004",1
"554","530050101001006",0
"555","530050101001013",1
"556","530050101001019",1
"557","530050101001020",37
"558","530050101001022",0
"559","530050101001024",3
"560","530050101001026",1
"561","530050101001027",0
"562","530050101001034",20
"563","530050101001036",36
"564","530050101001037",0
"565","530050101001039",159
"566","530050101001041",5
"567","530050101001045",1
"568","530050101001047",2
"569","530050101002005",20
"570","530050101002009",0
"571","530050101002010",6
"572","530050101002011",2
"573","530050101002012",45
"574","530050101002013",1
"575","530050101002015",3
"576","530050101002017",1
"577","530050101002018",0
"578","530050101002026",3
"579","530050101002029",0
"580","530050101002033",2
"581","530050101002034",28
"582","530050101002035",8
"583","530050101002036",0
"584","530050101002037",92
"585","530050101002040",0
"586","530050101002041",8
"587","530050101002042",0
"588","530050101002043",0
"589","530050101002047",0
"590","530050101002050",1
"591","530050101002054",0
"592","530050101002055",0
"593","530050101002057",0
"594","530050101002066",0
"595","530050101002072",2
"596","530050101002075",1
"597","530050102011001",0
"598","530050102011002",0
"599","530050102011003",6
"600","530050102011004",9
"601","530050102011005",16
"602","530050102011018",2
"603","530050102011023",2
"604","530050102011031",0
"605","530050102011032",0
"606","530050102011035",5
"607","530050102011036",0
"608","530050102011039",45
"609","530050102011041",11
"610","530050102011043",4
"611","530050102011044",1
"612","530050102011046",0
"613","530050102011049",3
"614","530050102011050",5
"615","530050102011051",2
"616","530050102011052",1
"617","530050102011053",0
"618","530050102011054",47
"619","530050102011055",19
"620","530050102011057",2
"621","530050102011058",14
"622","530050102011059",18
"623","530050102011064",0
"624","530050102011065",8
"625","530050102011067",1
"626","530050102011072",0
"627","530050102011074",34
"628","530050102011075",8
"629","530050102011076",104
"630","530050102012000",1
"631","530050102012004",2
"632","530050102012007",5
"633","530050102012019",2
"634","530050102012024",0
"635","530050102012025",0
"636","530050102012030",3
"637","530050102012031",3
"638","530050102013000",0
"639","530050102013008",3
"640","530050102013009",1
"641","530050102013016",0
"642","530050102021002",55
"643","530050102021011",1
"644","530050102021014",4
"645","530050102021017",0
"646","530050102021020",0
"647","530050102021021",8
"648","530050102021022",33
"649","530050102021024",1
"650","530050102021026",2
"651","530050102021028",0
"652","530050102021030",12
"653","530050102021031",2
"654","530050102021032",8
"655","530050102022001",1
"656","530050102022005",0
"657","530050102022011",1
"658","530050102022016",4
"659","530050102022022",0
"660","530050102022024",2
"661","530050102023004",2
"662","530050102023010",1
"663","530050102024003",4
"664","530050102024006",0
"665","530050102024009",0
"666","530050102024010",2
"667","530050102024011",10
"668","530050102024012",0
"669","530050102024018",1
"670","530050102024023",3
"671","530050102024024",7
"672","530050102025000",126
"673","530050102025003",7
"674","530050102025004",0
"675","530050102025009",1
"676","530050103001000",14
"677","530050103001019",1
"678","530050103001021",1
"679","530050103001028",0
"680","530050103001029",0
"681","530050103001030",0
"682","530050103001032",0
"683","530050103001033",0
"684","530050103001034",7
"685","530050103001037",1
"686","530050103002004",1
"687","530050103002007",0
"688","530050103002012",0
"689","530050103002013",0
"690","530050103002014",1
"691","530050103002018",0
"692","530050103002019",2
"693","530050103002020",2
"694","530050103002022",0
"695","530050103003001",2
"696","530050103003002",1
"697","530050103003003",1
"698","530050103003005",0
"699","530050103003012",18
"700","530050103003013",2
"701","530050103003014",1
"702","530050103003016",4
"703","530050103004001",2
"704","530050103004002",7
"705","530050103004003",0
"706","530050103004006",8
"707","530050103004008",0
"708","530050103004010",1
"709","530050103004017",0
"710","530050104001001",0
"711","530050104001009",2
"712","530050104001013",0
"713","530050104001020",1
"714","530050104001024",1
"715","530050104001027",13
"716","530050104001029",0
"717","530050104001030",0
