STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,STATEFP.1,COUNTYFP,TRACTCE,AFFGEOID,GEOID.1,NAME.1,LSAD.1,ALAND.1,AWATER.1,geometry
53,70000,02412025,5370000,Tacoma,Tacoma city,25,C1,Y,N,G4110,A,128789928,32870833,+47.2521991,-122.4598318,53,053,071704,1400000US53053071704,53053071704,717.04,CT,1352354,0,"list(c(-122.468392, 47.17019), c(-122.465938, 47.166808), c(-122.465815, 47.170179), list(c(-122.467220636363, -122.467279, -122.467888500889, -122.467220636363, 47.170185, 47.170185, 47.1701878507993, 47.170185)))"
53,70000,02412025,5370000,Tacoma,Tacoma city,25,C1,Y,N,G4110,A,128789928,32870833,+47.2521991,-122.4598318,53,053,940007,1400000US53053940007,53053940007,9400.07,CT,2496121,26552,"list(c(-122.39427, -122.39427, -122.394271, -122.39427, -122.394268, -122.394269, -122.394268, -122.394267, -122.394265, -122.394266, -122.394266, -122.394267, -122.394267, -122.394267, -122.394267, -122.394268, -122.394268, -122.394278, -122.39428, -122.394301, -122.394311, -122.39431, -122.39431, -122.401938, -122.401901, -122.4077, -122.407701, -122.408211, -122.412787, -122.413114, -122.413449, -122.414969, -122.415585, -122.41051, -122.404119, -122.400978, -122.399631, -122.399634, -122.397369, 
-122.39427, 47.237748, 47.237581, 47.237361, 47.237059, 47.237012, 47.236968, 47.236739, 47.236403, 47.235479, 47.234879, 47.234598, 47.234328, 47.234313, 47.234204, 47.233791, 47.233339, 47.233066, 47.232222, 47.232028, 47.230368, 47.228958, 47.228192, 47.223055, 47.223086, 47.224707, 47.224543, 47.226614, 47.228881, 47.228407, 47.229865, 47.231332, 47.238044, 47.238549, 47.239039, 47.239534, 47.240461, 47.240991, 47.240445, 47.23976, 47.237748))"
53,70000,02412025,5370000,Tacoma,Tacoma city,25,C1,Y,N,G4110,A,128789928,32870833,+47.2521991,-122.4598318,53,053,060904,1400000US53053060904,53053060904,609.04,CT,1948487,0,"list(c(-122.515874, -122.515814, -122.515789, -122.515757, -122.503812, -122.503816, -122.505107, -122.505148, -122.503838, -122.50385, -122.503865, -122.503853, -122.503841, -122.503843, -122.515894, -122.515874, 47.274022, 47.281705, 47.287183, 47.290804, 47.29069, 47.287057, 47.287054, 47.284638, 47.283795, 47.280561, 47.279649, 47.275895, 47.27307, 47.271048, 47.27109, 47.274022))"
53,70000,02412025,5370000,Tacoma,Tacoma city,25,C1,Y,N,G4110,A,128789928,32870833,+47.2521991,-122.4598318,53,053,060906,1400000US53053060906,53053060906,609.06,CT,1573421,0,"list(c(-122.515931, -122.515908, -122.515905, -122.515894, -122.503843, -122.503841, -122.503818, -122.503838, -122.50382, -122.503831, -122.503826, -122.503807, -122.513837, -122.515187, -122.515943, -122.515931, 47.26331, 47.265508, 47.267127, 47.27109, 47.271048, 47.270113, 47.267319, 47.265457, 47.264551, 47.261776, 47.258971, 47.255365, 47.255422, 47.256938, 47.25737, 47.26331))"
53,70000,02412025,5370000,Tacoma,Tacoma city,25,C1,Y,N,G4110,A,128789928,32870833,+47.2521991,-122.4598318,53,053,071705,1400000US53053071705,53053071705,717.05,CT,2389700,0,"list(c(-122.43142, 47.170033), c(-122.452576, -122.455212, 47.170181, 47.17019), list(c(-122.434079, -122.434104, -122.434113, -122.431452, -122.431456, -122.431458, -122.432817, -122.434122, -122.434124, -122.434212, -122.434292, -122.435568, -122.435563, -122.435548, -122.435433, -122.435431, -122.43543, -122.43543, -122.435429, -122.435426, -122.435426, -122.435424, -122.435422, -122.435421, -122.43542, -122.435419, -122.435418, -122.435417, -122.435417, -122.435415, -122.435411, -122.435417, 
-122.434079, 47.170051, 47.16842, 47.167844, 47.167826, 47.16742, 47.167157, 47.167149, 47.167158, 47.166973, 47.16697, 47.16697, 47.166982, 47.16712, 47.168248, 47.168248, 47.168441, 47.168492, 47.168533, 47.168616, 47.168783, 47.168824, 47.168937, 47.169109, 47.169161, 47.169242, 47.169325, 47.169397, 47.169513, 47.16953, 47.169683, 47.169966, 47.17006, 47.170051)), list(c(-122.436724, -122.43713, -122.437984, -122.439338631406, -122.436724, 47.170067, 47.170069, 47.170073, 47.1700809102564, 47.170067
)), list(c(-122.441987, -122.443353, -122.444882, -122.445078725802, -122.441987, 47.170095, 47.170085, 47.170116, 47.1701201098705, 47.170095)), list(c(-122.446023580415, -122.447279, -122.448607, -122.44958100676, -122.446023580415, 47.1701277836354, 47.170125, 47.170142, 47.1701566757561, 47.1701277836354)))"
53,70000,02412025,5370000,Tacoma,Tacoma city,25,C1,Y,N,G4110,A,128789928,32870833,+47.2521991,-122.4598318,53,053,061800,1400000US53053061800,53053061800,618,CT,1383817,0,"list(c(-122.462918, -122.460686, -122.457781, -122.450897, -122.446621, -122.440946, -122.441196, -122.440655, -122.440634, -122.44195, -122.449253, -122.452271, -122.455086, -122.463275, -122.462918, 47.228439, 47.230367, 47.230988, 47.230256, 47.230157, 47.231413, 47.230416, 47.228006, 47.223069, 47.223068, 47.223121, 47.223144, 47.223189, 47.222992, 47.228439))"
53,70000,02412025,5370000,Tacoma,Tacoma city,25,C1,Y,N,G4110,A,128789928,32870833,+47.2521991,-122.4598318,53,053,060200,1400000US53053060200,53053060200,602,CT,15723797,9192054,"list(c(-122.432769, 47.298145), list(c(-122.358919, -122.358815, -122.358648, -122.357603, -122.357602, -122.357608, -122.358545, -122.359748, -122.360668, -122.360685, -122.360687, -122.362776, -122.372173, -122.379262, -122.382049, -122.384284, -122.399301, -122.40078, -122.402881, -122.401151, -122.400664, -122.400678, -122.399603, -122.399608, -122.399613, -122.399621, -122.399626, -122.399627, -122.39963, -122.39963, -122.399631, -122.399631, -122.400978, -122.404119, -122.41051, -122.415585, 
-122.418017, -122.428421, -122.431212, -122.431788, -122.432203, -122.432038, -122.432429, -122.43198, -122.432029, -122.432006, -122.433039, -122.434535, -122.436291, -122.437317, -122.436084, -122.434879, -122.434611, -122.435972, -122.439265, -122.440310435951, -122.439886414386, -122.436756, -122.433191, -122.429626, -122.42606, -122.421307, -122.418455, -122.4118, -122.413825, -122.410700822924, -122.409199, -122.413735, -122.424235, -122.430618832116, -122.430669, -122.429155, -122.425404, 
-122.422311, -122.416848, -122.41389, -122.410798, -122.404928, -122.401312, -122.398071, -122.392447, -122.389838, -122.389283, -122.387328, -122.383295, -122.379238, -122.373241, -122.366301, -122.358259, -122.356969, -122.35665, -122.357332, -122.359099, -122.359707, -122.358919, 47.256486, 47.256424, 47.256325, 47.255705, 47.25557, 47.255316, 47.255069, 47.254754, 47.254512, 47.253691, 47.253654, 47.253471, 47.25382, 47.253708, 47.254092, 47.253694, 47.253729, 47.253713, 47.253074, 47.250614, 
47.247217, 47.244708, 47.243562, 47.243408, 47.243198, 47.242844, 47.241855, 47.241672, 47.241208, 47.241166, 47.24102, 47.240991, 47.240461, 47.239534, 47.239039, 47.238549, 47.238219, 47.234039, 47.233391, 47.23414, 47.238635, 47.238783, 47.23932, 47.239645, 47.240034, 47.240367, 47.24025, 47.243288, 47.243086, 47.247604, 47.249419, 47.249571, 47.249931, 47.255513, 47.260443, 47.2620225229139, 47.2620033735529, 47.261862, 47.263475, 47.268475, 47.27041, 47.270249, 47.275893, 47.282505, 47.285016, 
47.2874067451036, 47.288556, 47.293921, 47.297521, 47.2971283513426, 47.297944, 47.298634, 47.298854, 47.29761, 47.296626, 47.294671, 47.292047, 47.28404, 47.282322, 47.281484, 47.281636, 47.281, 47.28068, 47.278965, 47.277329, 47.274791, 47.271052, 47.268866, 47.265021, 47.263788, 47.260105, 47.258983, 47.257452, 47.256943, 47.256486)), list(c(-122.360556114701, -122.359957, -122.359612, -122.359401, -122.360556114701, 47.2536541017771, 47.253655, 47.253655, 47.253655, 47.2536541017771)))"
53,70000,02412025,5370000,Tacoma,Tacoma city,25,C1,Y,N,G4110,A,128789928,32870833,+47.2521991,-122.4598318,53,053,060400,1400000US53053060400,53053060400,604,CT,2537792,3976447,"list(c(-122.505107, -122.503816, -122.503812, -122.498532, -122.500195, -122.502962, -122.498923618729, -122.490199, -122.486669, -122.479788, -122.477322018545, -122.479441, -122.479537, -122.484085, -122.484129, -122.488813, -122.488835, -122.494599, -122.503853, -122.503865, -122.50385, -122.503838, -122.505148, -122.505107, 47.287054, 47.287057, 47.29069, 47.290677, 47.293095, 47.294229, 47.2946981473658, 47.28914, 47.285729, 47.282506, 47.2809344520843, 47.279423, 47.28043, 47.280464, 47.27766, 
47.277687, 47.275807, 47.275839, 47.275895, 47.279649, 47.280561, 47.283795, 47.284638, 47.287054))"
53,70000,02412025,5370000,Tacoma,Tacoma city,25,C1,Y,N,G4110,A,128789928,32870833,+47.2521991,-122.4598318,53,053,061002,1400000US53053061002,53053061002,610.02,CT,3029116,8198,"list(c(-122.505269, -122.5054, -122.505689, -122.506145, -122.508821, -122.509096, -122.509512, -122.510306, -122.51064, -122.511619, -122.511768, -122.512951, -122.513698, -122.514314, -122.514825, -122.515953, -122.517074, -122.519592, -122.520139, -122.521198, -122.522715, -122.523819, -122.525797, -122.52637, -122.526408, -122.52651819181, -122.534266, -122.535729, -122.537057, -122.536987, -122.531333, -122.531341, -122.529415, -122.526336, -122.518493, -122.515943, -122.515187, -122.513837, 
-122.512866, -122.510959, -122.505196, -122.505269, 47.242901, 47.242905, 47.242903, 47.242901, 47.24287, 47.242866, 47.242858, 47.242848, 47.242843, 47.242831, 47.242829, 47.242814, 47.242804, 47.242796, 47.242789, 47.242772, 47.242784, 47.242756, 47.242751, 47.242741, 47.242732, 47.242725, 47.242713, 47.242709, 47.242709, 47.2427086621767, 47.242691, 47.242685, 47.242681, 47.249921, 47.249925, 47.258841, 47.258864, 47.258664, 47.258047, 47.25737, 47.256938, 47.255422, 47.25234, 47.250086, 47.243632, 
47.242901))"
53,70000,02412025,5370000,Tacoma,Tacoma city,25,C1,Y,N,G4110,A,128789928,32870833,+47.2521991,-122.4598318,53,053,061200,1400000US53053061200,53053061200,612,CT,1890514,0,"list(c(-122.483639, -122.476273, -122.474802, -122.473408, -122.471359, -122.468328, -122.465956, -122.465606, -122.465597, -122.471814, -122.476259, -122.482735, -122.48358, -122.483692, -122.483639, 47.255268, 47.255267, 47.255265, 47.255432, 47.25544, 47.255443, 47.255451, 47.250084, 47.242684, 47.242802, 47.242788, 47.242757, 47.246263, 47.250018, 47.255268))"
